[2025-05-13 18:04:08] Starting UE client to RRH (10.0.0.100)
   [2025-05-13 18:07:46] Previous Value: 214, New Value: 215, vBBU: vbbu1
   [2025-05-13 18:07:47] Previous Value: 215, New Value: 216, vBBU: vbbu1
   [2025-05-13 18:07:48] Previous Value: 216, New Value: 217, vBBU: vbbu1
   [2025-05-13 18:07:49] Previous Value: 217, New Value: 218, vBBU: vbbu1
   [2025-05-13 18:07:50] Previous Value: 218, New Value: 219, vBBU: vbbu1
   [2025-05-13 18:07:51] Previous Value: 219, New Value: 220, vBBU: vbbu1
   [2025-05-13 18:07:52] Previous Value: 220, New Value: 221, vBBU: vbbu1
   [2025-05-13 18:07:53] Previous Value: 221, New Value: 222, vBBU: vbbu1
   [2025-05-13 18:07:54] Previous Value: 222, New Value: 223, vBBU: vbbu1
   [2025-05-13 18:07:55] Previous Value: 223, New Value: 224, vBBU: vbbu1
   [2025-05-13 18:07:56] Previous Value: 224, New Value: 225, vBBU: vbbu1
   [2025-05-13 18:07:57] Previous Value: 225, New Value: 226, vBBU: vbbu1
   [2025-05-13 18:07:58] Previous Value: 226, New Value: 227, vBBU: vbbu1
   [2025-05-13 18:07:59] Previous Value: 227, New Value: 228, vBBU: vbbu1
   [2025-05-13 18:08:00] Previous Value: 228, New Value: 229, vBBU: vbbu1
   [2025-05-13 18:08:01] Previous Value: 229, New Value: 230, vBBU: vbbu1
   [2025-05-13 18:08:02] Previous Value: 230, New Value: 231, vBBU: vbbu1
   [2025-05-13 18:08:03] Previous Value: 231, New Value: 232, vBBU: vbbu1
   [2025-05-13 18:08:04] Previous Value: 232, New Value: 233, vBBU: vbbu1
   [2025-05-13 18:08:05] Previous Value: 233, New Value: 234, vBBU: vbbu1
   [2025-05-13 18:08:06] Previous Value: 234, New Value: 235, vBBU: vbbu1
   [2025-05-13 18:08:07] Previous Value: 235, New Value: 236, vBBU: vbbu1
   [2025-05-13 18:08:08] Previous Value: 236, New Value: 237, vBBU: vbbu1
   [2025-05-13 18:08:09] Previous Value: 237, New Value: 238, vBBU: vbbu1
   [2025-05-13 18:08:10] Previous Value: 238, New Value: 239, vBBU: vbbu1
   [2025-05-13 18:08:11] Previous Value: 239, New Value: 240, vBBU: vbbu1
   [2025-05-13 18:08:12] Previous Value: 240, New Value: 241, vBBU: vbbu1
   [2025-05-13 18:08:13] Previous Value: 241, New Value: 242, vBBU: vbbu1
   [2025-05-13 18:08:14] Previous Value: 242, New Value: 243, vBBU: vbbu1
   [2025-05-13 18:08:15] Previous Value: 243, New Value: 244, vBBU: vbbu1
   [2025-05-13 18:08:16] Previous Value: 244, New Value: 245, vBBU: vbbu1
   [2025-05-13 18:08:17] Previous Value: 245, New Value: 246, vBBU: vbbu1
   [2025-05-13 18:08:18] Previous Value: 246, New Value: 247, vBBU: vbbu1
   [2025-05-13 18:08:19] Previous Value: 247, New Value: 248, vBBU: vbbu1
   [2025-05-13 18:08:20] Previous Value: 248, New Value: 249, vBBU: vbbu1
   [2025-05-13 18:08:21] Previous Value: 249, New Value: 250, vBBU: vbbu1
   [2025-05-13 18:08:22] Previous Value: 250, New Value: 251, vBBU: vbbu1
   [2025-05-13 18:08:23] Previous Value: 251, New Value: 252, vBBU: vbbu1
   [2025-05-13 18:08:24] Previous Value: 252, New Value: 253, vBBU: vbbu1
   [2025-05-13 18:08:25] Previous Value: 253, New Value: 254, vBBU: vbbu1
   [2025-05-13 18:08:26] Previous Value: 254, New Value: 255, vBBU: vbbu1
   [2025-05-13 18:08:27] Previous Value: 255, New Value: 256, vBBU: vbbu1
   [2025-05-13 18:08:28] Previous Value: 256, New Value: 257, vBBU: vbbu1
   [2025-05-13 18:08:29] Previous Value: 257, New Value: 258, vBBU: vbbu1
   [2025-05-13 18:08:30] Previous Value: 258, New Value: 259, vBBU: vbbu1
   [2025-05-13 18:08:32] Previous Value: 259, New Value: 260, vBBU: vbbu1
   [2025-05-13 18:08:33] Previous Value: 260, New Value: 261, vBBU: vbbu1
   [2025-05-13 18:08:34] Previous Value: 261, New Value: 262, vBBU: vbbu1
   [2025-05-13 18:08:35] Previous Value: 262, New Value: 263, vBBU: vbbu1
   [2025-05-13 18:08:36] Previous Value: 263, New Value: 264, vBBU: vbbu1
   [2025-05-13 18:08:37] Previous Value: 264, New Value: 265, vBBU: vbbu1
   [2025-05-13 18:08:38] Previous Value: 265, New Value: 266, vBBU: vbbu1
   [2025-05-13 18:08:39] Previous Value: 266, New Value: 267, vBBU: vbbu1
   [2025-05-13 18:08:40] Previous Value: 267, New Value: 268, vBBU: vbbu1
   [2025-05-13 18:08:41] Previous Value: 268, New Value: 269, vBBU: vbbu1
   [2025-05-13 18:08:42] Previous Value: 269, New Value: 270, vBBU: vbbu1
   [2025-05-13 18:08:43] Previous Value: 270, New Value: 271, vBBU: vbbu1
   [2025-05-13 18:08:44] Previous Value: 271, New Value: 272, vBBU: vbbu1
   [2025-05-13 18:08:45] Previous Value: 272, New Value: 273, vBBU: vbbu1
   [2025-05-13 18:08:46] Previous Value: 273, New Value: 274, vBBU: vbbu1
   [2025-05-13 18:08:47] Previous Value: 274, New Value: 275, vBBU: vbbu1
   [2025-05-13 18:08:48] Previous Value: 275, New Value: 276, vBBU: vbbu1
   [2025-05-13 18:08:49] Previous Value: 276, New Value: 277, vBBU: vbbu1
   [2025-05-13 18:08:50] Previous Value: 277, New Value: 278, vBBU: vbbu1
   [2025-05-13 18:08:51] Previous Value: 278, New Value: 279, vBBU: vbbu1
